"id","age_group","sentence","n_letters","trialtime","error_percent","backspaces"
202,"old",49,18,38086,0,18
202,"old",50,18,12249,0,0
203,"old",1,19,32335,0.736842105263158,1
203,"old",5,13,20973,0.923076923076923,1
203,"old",14,19,23960,0.842105263157895,1
203,"old",15,19,28700,0.578947368421053,0
203,"old",16,11,40664,1.45454545454545,1
203,"old",19,12,83181,1,9
203,"old",22,17,22346,0.941176470588235,1
203,"old",26,23,94768,0.826086956521739,9
203,"old",33,23,32148,0.826086956521739,2
203,"old",36,19,109192,0.894736842105263,12
203,"old",37,14,60460,1,7
203,"old",43,21,123340,0.952380952380952,7
203,"old",47,22,167726,0.681818181818182,15
204,"old",1,19,22713,0,1
204,"old",2,18,19338,0,0
204,"old",3,15,14601,0,0
204,"old",4,19,18528,0,0
204,"old",5,13,18064,0,2
204,"old",6,13,17145,0,1
204,"old",7,21,28408,0,2
204,"old",8,20,16190,0,0
204,"old",9,18,28171,0,5
204,"old",10,12,28009,0,6
204,"old",11,14,28134,0.0714285714285714,11
204,"old",12,24,19810,0,0
204,"old",13,18,17528,0,0
204,"old",14,19,18992,0,0
204,"old",15,19,17600,0,0
204,"old",16,11,11470,0,0
204,"old",17,22,24645,0,0
204,"old",18,24,33739,0,3
204,"old",19,12,10370,0,0
204,"old",20,22,27375,0,1
204,"old",21,22,22435,0,0
204,"old",22,17,22609,0,1
204,"old",23,21,20495,0,0
204,"old",24,11,8564,0,0
204,"old",25,22,26176,0,0
204,"old",26,23,31819,0.130434782608696,4
204,"old",27,18,33954,0,4
204,"old",28,16,21480,0,2
204,"old",29,12,12711,0,0
204,"old",30,20,26068,0,3
204,"old",31,21,30179,0.0476190476190476,2
204,"old",32,22,35939,0,2
204,"old",33,23,41381,0.0434782608695652,5
204,"old",34,18,38302,0,6
204,"old",35,12,10450,0,0
204,"old",36,19,18770,0,0
204,"old",37,14,12104,0,0
204,"old",38,10,10478,0,0
204,"old",39,18,29114,0,6
204,"old",40,11,23007,0,9
204,"old",41,15,12905,0,0
204,"old",42,15,25389,0,2
204,"old",43,21,29718,0,0
204,"old",44,17,20256,0,1
204,"old",45,20,18310,0,0
204,"old",46,21,48563,0,17
204,"old",47,22,24903,0,0
204,"old",48,21,28747,0,3
204,"old",49,18,30649,0,6
204,"old",50,18,30122,0,7
205,"old",10,12,41356,0.166666666666667,1
205,"old",14,19,30374,0.315789473684211,2
205,"old",16,11,25344,0.0909090909090909,4
205,"old",18,24,59029,0.0416666666666667,4
205,"old",23,21,51049,0.333333333333333,1
205,"old",26,23,124739,0.478260869565217,11
205,"old",30,20,46893,0.05,1
205,"old",40,11,30486,0.909090909090909,3
205,"old",41,15,73098,0.133333333333333,12
205,"old",44,17,74074,0.176470588235294,13
205,"old",46,21,38987,0.142857142857143,0
205,"old",47,22,85188,0.318181818181818,5
206,"old",2,18,38192,0.888888888888889,0
206,"old",7,21,56243,0.857142857142857,1
206,"old",8,20,36755,0.9,0
206,"old",9,18,22048,0.722222222222222,0
206,"old",11,14,27905,1.14285714285714,0
206,"old",12,24,28986,0.791666666666667,0
206,"old",13,18,31595,0.777777777777778,2
206,"old",14,19,17612,0.789473684210526,1
206,"old",15,19,48971,0.842105263157895,5
206,"old",16,11,38050,1.18181818181818,1
206,"old",19,12,32749,1,0
